,name,sku,price,text,categories,units,weight,total_weight
217,Snack de Fiambre e Queijo,SASN0008_CX,16.75,"Contém 5 unidades de 40g.
Peso total: 200g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",5,40,200
218,Snack de Queijo e Presunto,SASN0005_CX,16.50,"Contém 5 saquetas de 32,3g.
Peso total: 161,5g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",5,32,3
219,Snack Vegan,SASV0001_CX,11.50,"Contém 3 unidades de 25g.
Peso neto: 75g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",3,25,75
220,Tortitos sabor a Bacon,SASN0004_CX,16.50,"Contém 4 saquetas de 25g
Peso total: 100g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",4,25,100
221,Tostas,PAPT0003_UN,12.00,"Contém 18 tostas de 5g.
Peso total: 90g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",18,5,90
222,Zipper Barbecue,SASN0012_CX,11.50,"Contém 3 saquetas de 38g.
Peso total líquido de 114g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",3,38,114
223,Grissinis,PAPT0005_CX,10.00,"Contém 3 saquetas de 22g.
Peso total: 66g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",3,22,66
224,Crocantes de Queijo,SASN0014_CX,16.75,"Contém 5 unidades de 30g.
Peso total: 150g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",5,30,150
225,Crackers de Queijo,PAPT0004_CX,16.50,"Contém 5 saquetas de 38g.
Peso total: 190g.","[{'id': 23, 'name': 'Snacks Salgados', 'slug': 'snacks-salgados'}]",5,38,190
226,A.R.L. sabor Manga Ananás,SUDR0003_UN,25.00,"Contém 10 unidades de 10 ml.

Peso neto: 100ml","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",10,10,100
227,Super Coffee,BEBF0009_CX,26.00,,"[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",1,,
228,Plano Imunidade,KITPI0001,37.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 20, 'name': 'Chás Terapêuticos', 'slug': 'chas-terapeuticos'}, {'id': 18, 'name': 'Kits', 'slug': 'kits'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",1,,
229,Super Skin by Lev,SUEB0001_CX,50.00,"Glicerina E422 e água purificada QSP, sumos : Ananás (<em>Ananas comosus</em> <em>(L.) Merr.</em>) e Papaia (<em>Carica papaya L.</em>); extratos aquosos: Dente-de-leão (<em>Taraxacum officinale Web.</em>), Guaraná (<em>Paullinia cupana Kunth</em>) e Chá verde (<em>Camellia sinensis (L.) Kuntze</em>); FOS (Fructooligossacarídeos); corante: Caramelo E150a; aroma: manga; espessante: goma xantana E415.","[{'id': 66, 'name': 'Nutricosmética', 'slug': 'nutricosmetica'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",422,150,415
230,Pro Pre B,SULA0002_UN,20.00,"Tomar 2 cápsulas por dia: 1 ao levantar e 1 cápsula ao deitar, acompanhadas por 200-250 ml de água.","[{'id': 67, 'name': 'Pro &amp; Pre Biótico', 'slug': 'pro-pre-bioticos'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",2,1,1
231,Menopose,SUAG0004_UN,22.00,"30 cápsulas de 973mg
Peso Neto: 51,16g","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",30,973,51
232,Hipertónico,SUSM0001_UN,23.00,"20 doses individuais de 10ml

Volume líquido 200ml","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",20,10,200
233,Vita Lev,SUMU0001_UN,20.00,"60 cápsulas de 571mg

Peso Neto 34,26g","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",60,571,34
234,Transit,SULA0001_UN,10.00,"<strong>60 cápsulas</strong> de 610,30mg

Peso Neto: 36,60g","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",60,610,30
235,Skin Elixir + Keratin + Elastin,SUEB0002_UN,29.95,"Conservar em local seco e fresco (entre 15ºC a 25ºC), ao abrigo da luz e da humidade.","[{'id': 66, 'name': 'Nutricosmética', 'slug': 'nutricosmetica'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",15,25,
236,Ácidos Gordos Essenciais,SUAG0001_UN,23.00,"60 cápsulas de 717mg

Peso Neto: 43g","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",60,717,43
237,Fat Burner Elixir,SUEB0004_UN,29.95,"<ul>
 	<li>Não administrar a crianças menores de 12 anos.</li>
 	<li>Consulte o seu médico se tiver problemas de tiróide.</li>
 	<li>Não prolongar o uso sem orientação de um especialista.</li>
 	<li>Manter fora do alcance e vista das crianças.</li>
 	<li>Não exceder a dose diária recomendada.</li>
 	<li>Não deve ser utilizado como substituto de um regime alimentar variado.</li>
 	<li>Não deve administrar-se durante a gravidez e aleitamento</li>
</ul>","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",12,,
238,Lev Energy,SUAG0002_UN,25.00,"60 cápsulas de 858mg

Peso Neto: 51,48g","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",60,858,51
239,Boost Elixir,SUEB0003_UN,25.95,"<ul>
 	<li>Não administrar a crianças menores de 12 anos.</li>
 	<li>Consulte o seu médico se tiver problemas de tiróide.</li>
 	<li>Não prolongar o uso sem orientação de um especialista.</li>
 	<li>Manter fora do alcance e vista das crianças.</li>
 	<li>Não exceder a dose diária recomendada.</li>
 	<li>Não deve ser utilizado como substituto de um regime alimentar variado.</li>
 	<li>Não deve administrar-se durante a gravidez e aleitamento</li>
</ul>","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",12,,
240,A.R.L. sabor a Frutos Vermelhos,SUDR0002_UN,25.00,"Contém 10 unidades de 10 ml.

Peso neto: 100ml","[{'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",10,10,100
